"Data (len:900, TCP:500)",z and alpha,Model (Parameters),ARL0,ARL0,ARL1,ARL1
,,,mean,std,mean,std
MG:-1 Var:1,z:1.6449 alpha:1,"CTM (z:1.6449,a:1,(0.1, 10))",342.5556,272.7018,7,6.245
MG:-1 Var:1,z:1.6449 alpha:1,"CTM (z:1.6449,a:1,(0.1, 15))",368.8333,227.1873,13,5.5678
MG:-1 Var:1,z:1.6449 alpha:1,"CTM (z:1.6449,a:1,(0.1, 20))",500,0,16,7.2111
MG:-1 Var:1,z:1.6449 alpha:1,"CTM (z:1.6449,a:1,(0.15, 10))",343.7083,270.7051,7.6667,6.4291
MG:-1 Var:1,z:1.6449 alpha:1,"CTM (z:1.6449,a:1,(0.15, 15))",475.3333,42.7239,13.3333,6.0277
MG:-1 Var:1,z:1.6449 alpha:1,"CTM (z:1.6449,a:1,(0.15, 20))",500,0,16,7.2111
MG:-1 Var:1,z:1.6449 alpha:1,"CTM (z:1.6449,a:1,(0.2, 10))",344.1538,269.9335,8.6667,6.4291
MG:-1 Var:1,z:1.6449 alpha:1,"CTM (z:1.6449,a:1,(0.2, 15))",475.3333,42.7239,14,7
MG:-1 Var:1,z:1.6449 alpha:1,"CTM (z:1.6449,a:1,(0.2, 20))",500,0,16.6667,7.3711
MG:-1 Var:1,z:1.6449 alpha:1,"SWM (z:1.6449,a:1,10)",26.5883,11.7609,6,7.2111
MG:-1 Var:1,z:1.6449 alpha:1,"SWM (z:1.6449,a:1,15)",79.2535,61.7961,5.6667,7.3711
MG:-1 Var:1,z:1.6449 alpha:1,"SWM (z:1.6449,a:1,20)",345.2143,268.0967,8,12.1655
MG:-1 Var:1,z:1.6449 alpha:1,"SWM (z:1.6449,a:1,25)",357.0952,247.5183,8.6667,11.5902
MG:-1 Var:1,z:1.6449 alpha:1,"SWM (z:1.6449,a:1,30)",500,0,11.6667,10.7858
MG:-1 Var:1,z:1.6449 alpha:1,"TM (z:1.6449,a:1,(0.1, 10))",38.9651,25.5914,6.3333,6.8069
MG:-1 Var:1,z:1.6449 alpha:1,"TM (z:1.6449,a:1,(0.1, 15))",346.0769,266.6026,9,6.9282
MG:-1 Var:1,z:1.6449 alpha:1,"TM (z:1.6449,a:1,(0.1, 20))",388,193.9897,10,7.8102
MG:-1 Var:1,z:1.6449 alpha:1,"TM (z:1.6449,a:1,(0.15, 10))",38.9651,25.5914,6.3333,6.8069
MG:-1 Var:1,z:1.6449 alpha:1,"TM (z:1.6449,a:1,(0.15, 15))",81.2222,46.9057,8.6667,7.2342
MG:-1 Var:1,z:1.6449 alpha:1,"WM (z:1.6449,a:1,(0.1, 10))",31.7018,17.9826,6.3333,6.8069
MG:-1 Var:1,z:1.6449 alpha:1,"WM (z:1.6449,a:1,(0.1, 15))",345.1667,268.1792,9,6.9282
MG:-1 Var:1,z:1.6449 alpha:1,"WM (z:1.6449,a:1,(0.1, 20))",356.8333,247.9719,10,7.8102
MG:-1 Var:1,z:1.6449 alpha:1,"WM (z:1.6449,a:1,(0.15, 10))",31.7018,17.9826,6.3333,6.8069
MG:-1 Var:1,z:1.6449 alpha:1,"WM (z:1.6449,a:1,(0.15, 15))",83.8333,42.4392,8.3333,5.7735
MG:-1 Var:1,z:1.6449 alpha:1,"WM (z:1.6449,a:1,(0.15, 20))",388,193.9897,12.3333,6.5064
MG:-1 Var:1,z:1.6449 alpha:1,"WM (z:1.6449,a:1,(0.2, 10))",24.1687,10.0601,6.6667,6.6583
MG:-1 Var:1,z:1.6449 alpha:1,"WM (z:1.6449,a:1,(0.2, 15))",83.0667,43.7494,10.6667,6.5064
MG:-1 Var:1,z:1.6449 alpha:1,"WM (z:1.6449,a:1,(0.2, 20))",374.4167,217.5167,10,7.9373
