"Data (len:900, TCP:500)",z and alpha,Model (Parameters),ARL0,ARL0,ARL1,ARL1
,,,mean,std,mean,std
MG:-1 Var:1,z:1.6449 alpha:0.5,"CTM (z:1.6449,a:0.5,(0.1, 10))",4.1798,1.4527,3.3333,4.9329
MG:-1 Var:1,z:1.6449 alpha:0.5,"CTM (z:1.6449,a:0.5,(0.1, 15))",5.2891,2.3482,0.3333,0.5774
MG:-1 Var:1,z:1.6449 alpha:0.5,"CTM (z:1.6449,a:0.5,(0.1, 20))",6.0851,3.1373,3.0,5.1962
MG:-1 Var:1,z:1.6449 alpha:0.5,"CTM (z:1.6449,a:0.5,(0.15, 10))",4.376,1.5609,3.3333,4.9329
MG:-1 Var:1,z:1.6449 alpha:0.5,"CTM (z:1.6449,a:0.5,(0.15, 15))",5.7722,2.7009,3.0,5.1962
MG:-1 Var:1,z:1.6449 alpha:0.5,"CTM (z:1.6449,a:0.5,(0.15, 20))",7.1117,4.3382,3.6667,6.3509
MG:-1 Var:1,z:1.6449 alpha:0.5,"CTM (z:1.6449,a:0.5,(0.2, 10))",4.9983,2.0255,3.3333,4.9329
MG:-1 Var:1,z:1.6449 alpha:0.5,"CTM (z:1.6449,a:0.5,(0.2, 15))",6.3953,3.3088,3.6667,6.3509
MG:-1 Var:1,z:1.6449 alpha:0.5,"CTM (z:1.6449,a:0.5,(0.2, 20))",7.935,5.1898,3.6667,6.3509
MG:-1 Var:1,z:1.6449 alpha:0.5,"SWM (z:1.6449,a:0.5,10)",2.809,0.574,0.3333,0.5774
MG:-1 Var:1,z:1.6449 alpha:0.5,"SWM (z:1.6449,a:0.5,15)",3.1214,0.7298,4.6667,8.0829
MG:-1 Var:1,z:1.6449 alpha:0.5,"SWM (z:1.6449,a:0.5,20)",3.6751,0.8709,3.6667,6.3509
MG:-1 Var:1,z:1.6449 alpha:0.5,"SWM (z:1.6449,a:0.5,25)",4.0071,1.4498,5.3333,8.3865
MG:-1 Var:1,z:1.6449 alpha:0.5,"SWM (z:1.6449,a:0.5,30)",4.3976,1.2942,4.6667,8.0829
MG:-1 Var:1,z:1.6449 alpha:0.5,"TM (z:1.6449,a:0.5,(0.1, 10))",3.1871,0.7545,0.3333,0.5774
MG:-1 Var:1,z:1.6449 alpha:0.5,"TM (z:1.6449,a:0.5,(0.1, 15))",4.0453,1.2515,0.3333,0.5774
MG:-1 Var:1,z:1.6449 alpha:0.5,"TM (z:1.6449,a:0.5,(0.1, 20))",4.7275,1.8979,1.3333,2.3094
MG:-1 Var:1,z:1.6449 alpha:0.5,"TM (z:1.6449,a:0.5,(0.15, 10))",3.1871,0.7545,0.3333,0.5774
MG:-1 Var:1,z:1.6449 alpha:0.5,"TM (z:1.6449,a:0.5,(0.15, 15))",4.0664,1.3408,0.3333,0.5774
MG:-1 Var:1,z:1.6449 alpha:0.5,"WM (z:1.6449,a:0.5,(0.1, 10))",3.2461,0.7949,0.3333,0.5774
MG:-1 Var:1,z:1.6449 alpha:0.5,"WM (z:1.6449,a:0.5,(0.1, 15))",3.9959,1.1942,0.0,0.0
MG:-1 Var:1,z:1.6449 alpha:0.5,"WM (z:1.6449,a:0.5,(0.1, 20))",4.6358,1.7914,1.3333,2.3094
MG:-1 Var:1,z:1.6449 alpha:0.5,"WM (z:1.6449,a:0.5,(0.15, 10))",3.2461,0.7949,0.3333,0.5774
MG:-1 Var:1,z:1.6449 alpha:0.5,"WM (z:1.6449,a:0.5,(0.15, 15))",3.9926,1.2956,0.3333,0.5774
MG:-1 Var:1,z:1.6449 alpha:0.5,"WM (z:1.6449,a:0.5,(0.15, 20))",4.6919,1.9291,1.3333,2.3094
MG:-1 Var:1,z:1.6449 alpha:0.5,"WM (z:1.6449,a:0.5,(0.2, 10))",3.1529,0.7577,2.6667,3.7859
MG:-1 Var:1,z:1.6449 alpha:0.5,"WM (z:1.6449,a:0.5,(0.2, 15))",4.0937,1.3492,0.0,0.0
MG:-1 Var:1,z:1.6449 alpha:0.5,"WM (z:1.6449,a:0.5,(0.2, 20))",4.9263,2.0408,0.3333,0.5774
MG:-1 Var:1,z:1.6449 alpha:0.75,"CTM (z:1.6449,a:0.75,(0.1, 10))",13.4284,6.0314,5.6667,6.6583
MG:-1 Var:1,z:1.6449 alpha:0.75,"CTM (z:1.6449,a:0.75,(0.1, 15))",19.1212,9.9506,5.6667,7.2342
MG:-1 Var:1,z:1.6449 alpha:0.75,"CTM (z:1.6449,a:0.75,(0.1, 20))",68.5569,52.8641,6.6667,9.0738
MG:-1 Var:1,z:1.6449 alpha:0.75,"CTM (z:1.6449,a:0.75,(0.15, 10))",15.1689,7.1674,5.6667,6.6583
MG:-1 Var:1,z:1.6449 alpha:0.75,"CTM (z:1.6449,a:0.75,(0.15, 15))",23.5536,12.8579,5.6667,7.2342
MG:-1 Var:1,z:1.6449 alpha:0.75,"CTM (z:1.6449,a:0.75,(0.15, 20))",117.4333,109.5377,7.0,8.7178
MG:-1 Var:1,z:1.6449 alpha:0.75,"CTM (z:1.6449,a:0.75,(0.2, 10))",23.6604,13.8162,6.3333,6.8069
MG:-1 Var:1,z:1.6449 alpha:0.75,"CTM (z:1.6449,a:0.75,(0.2, 15))",63.7986,52.3368,6.0,7.8102
MG:-1 Var:1,z:1.6449 alpha:0.75,"CTM (z:1.6449,a:0.75,(0.2, 20))",224.2639,247.6423,7.3333,8.5049
MG:-1 Var:1,z:1.6449 alpha:0.75,"SWM (z:1.6449,a:0.75,10)",7.0844,2.5262,4.3333,7.5056
MG:-1 Var:1,z:1.6449 alpha:0.75,"SWM (z:1.6449,a:0.75,15)",7.165,1.7041,4.6667,8.0829
MG:-1 Var:1,z:1.6449 alpha:0.75,"SWM (z:1.6449,a:0.75,20)",10.3288,3.5743,5.0,8.6603
MG:-1 Var:1,z:1.6449 alpha:0.75,"SWM (z:1.6449,a:0.75,25)",11.782,3.4807,8.3333,11.9304
MG:-1 Var:1,z:1.6449 alpha:0.75,"SWM (z:1.6449,a:0.75,30)",15.5235,1.8696,7.6667,11.5902
MG:-1 Var:1,z:1.6449 alpha:0.75,"TM (z:1.6449,a:0.75,(0.1, 10))",9.2171,4.2313,5.0,5.5678
MG:-1 Var:1,z:1.6449 alpha:0.75,"TM (z:1.6449,a:0.75,(0.1, 15))",14.5618,7.8567,4.3333,6.6583
MG:-1 Var:1,z:1.6449 alpha:0.75,"TM (z:1.6449,a:0.75,(0.1, 20))",22.1195,19.6575,5.6667,7.3711
MG:-1 Var:1,z:1.6449 alpha:0.75,"TM (z:1.6449,a:0.75,(0.15, 10))",9.2171,4.2313,5.0,5.5678
MG:-1 Var:1,z:1.6449 alpha:0.75,"TM (z:1.6449,a:0.75,(0.15, 15))",15.3079,8.435,4.6667,8.0829
MG:-1 Var:1,z:1.6449 alpha:0.75,"WM (z:1.6449,a:0.75,(0.1, 10))",9.5135,4.1621,5.0,5.5678
