"Data (len:900, TCP:500)",z and alpha,Model (Parameters),ARL0,ARL0,ARL1,ARL1
,,,mean,std,mean,std
MG:-1 Var:1,z:1.6449 alpha:0.9,"CT (z:1.6449,a:0.9,(0.1, 10))",180.4146,276.7705,11.6667,7.2342
MG:-1 Var:1,z:1.6449 alpha:0.9,"CT (z:1.6449,a:0.9,(0.1, 15))",199.8333,259.9617,28.0,19.6977
MG:-1 Var:1,z:1.6449 alpha:0.9,"CT (z:1.6449,a:0.9,(0.1, 20))",484.6667,26.5581,30.6667,23.0723
MG:-1 Var:1,z:1.6449 alpha:0.9,"CT (z:1.6449,a:0.9,(0.1, 25))",410.6667,154.7299,33.3333,22.6789
MG:-1 Var:1,z:1.6449 alpha:0.9,"CT (z:1.6449,a:0.9,(0.15, 10))",184.1785,273.5096,11.6667,7.2342
MG:-1 Var:1,z:1.6449 alpha:0.9,"CT (z:1.6449,a:0.9,(0.15, 15))",214.3611,247.8124,29.0,20.664
MG:-1 Var:1,z:1.6449 alpha:0.9,"CT (z:1.6449,a:0.9,(0.15, 20))",484.6667,26.5581,31.3333,24.2143
MG:-1 Var:1,z:1.6449 alpha:0.9,"CT (z:1.6449,a:0.9,(0.15, 25))",488.0,20.7846,34.0,23.0651
MG:-1 Var:1,z:1.6449 alpha:0.9,"CT (z:1.6449,a:0.9,(0.2, 10))",185.5224,272.421,18.0,7.9373
MG:-1 Var:1,z:1.6449 alpha:0.9,"CT (z:1.6449,a:0.9,(0.2, 15))",354.9524,251.2298,32.3333,24.8261
MG:-1 Var:1,z:1.6449 alpha:0.9,"CT (z:1.6449,a:0.9,(0.2, 20))",500.0,0.0,32.0,24.5764
MG:-1 Var:1,z:1.6449 alpha:0.9,"CT (z:1.6449,a:0.9,(0.2, 25))",500.0,0.0,37.3333,21.5948
MG:-1 Var:1,z:1.6449 alpha:0.9,"M (z:1.6449,a:0.9,10)",20.6278,16.2103,9.6667,5.0332
MG:-1 Var:1,z:1.6449 alpha:0.9,"M (z:1.6449,a:0.9,15)",183.3433,274.5956,10.6667,4.1633
MG:-1 Var:1,z:1.6449 alpha:0.9,"M (z:1.6449,a:0.9,20)",337.1057,282.1412,27.6667,19.5021
MG:-1 Var:1,z:1.6449 alpha:0.9,"M (z:1.6449,a:0.9,25)",260.0317,244.5757,21.3333,3.0551
MG:-1 Var:1,z:1.6449 alpha:0.9,"M (z:1.6449,a:0.9,30)",337.5856,281.31,23.6667,4.1633
MG:-1 Var:1,z:1.6449 alpha:0.9,"T (z:1.6449,a:0.9,(0.1, 10))",22.2946,20.8709,9.3333,3.2146
MG:-1 Var:1,z:1.6449 alpha:0.9,"T (z:1.6449,a:0.9,(0.1, 15))",181.7367,275.6241,17.0,7.2111
MG:-1 Var:1,z:1.6449 alpha:0.9,"T (z:1.6449,a:0.9,(0.1, 20))",348.6333,262.1748,19.0,5.5678
MG:-1 Var:1,z:1.6449 alpha:0.9,"T (z:1.6449,a:0.9,(0.1, 25))",372.0833,221.5582,20.0,5.2915
MG:-1 Var:1,z:1.6449 alpha:0.9,"T (z:1.6449,a:0.9,(0.15, 10))",22.2946,20.8709,9.3333,3.2146
MG:-1 Var:1,z:1.6449 alpha:0.9,"T (z:1.6449,a:0.9,(0.15, 15))",195.2917,264.5818,12.6667,2.0817
MG:-1 Var:1,z:1.6449 alpha:0.9,"T (z:1.6449,a:0.9,(0.15, 20))",347.2424,264.5839,19.0,5.5678
MG:-1 Var:1,z:1.6449 alpha:0.9,"T (z:1.6449,a:0.9,(0.15, 25))",359.1667,243.9305,20.0,5.2915
MG:-1 Var:1,z:1.6449 alpha:0.9,"T (z:1.6449,a:0.9,(0.2, 10))",33.3419,35.453,8.6667,4.0415
MG:-1 Var:1,z:1.6449 alpha:0.9,"T (z:1.6449,a:0.9,(0.2, 15))",202.1944,259.5936,11.6667,3.0551
MG:-1 Var:1,z:1.6449 alpha:0.9,"T (z:1.6449,a:0.9,(0.2, 20))",346.1667,266.4471,18.6667,5.1316
MG:-1 Var:1,z:1.6449 alpha:0.9,"T (z:1.6449,a:0.9,(0.2, 25))",350.5926,258.7812,20.3333,5.5076
MG:-1 Var:1,z:1.6449 alpha:0.9,"W (z:1.6449,a:0.9,(0.1, 10))",12.6136,6.199,9.3333,3.2146
MG:-1 Var:1,z:1.6449 alpha:0.9,"W (z:1.6449,a:0.9,(0.1, 15))",34.4496,38.8824,17.0,7.2111
MG:-1 Var:1,z:1.6449 alpha:0.9,"W (z:1.6449,a:0.9,(0.1, 20))",198.8571,261.3696,27.6667,19.6554
MG:-1 Var:1,z:1.6449 alpha:0.9,"W (z:1.6449,a:0.9,(0.1, 25))",226.359,245.8552,20.0,5.2915
MG:-1 Var:1,z:1.6449 alpha:0.9,"W (z:1.6449,a:0.9,(0.15, 10))",12.6136,6.199,9.3333,3.2146
MG:-1 Var:1,z:1.6449 alpha:0.9,"W (z:1.6449,a:0.9,(0.15, 15))",182.3359,275.1119,17.0,7.2111
MG:-1 Var:1,z:1.6449 alpha:0.9,"W (z:1.6449,a:0.9,(0.15, 20))",347.2424,264.5839,23.6667,12.897
MG:-1 Var:1,z:1.6449 alpha:0.9,"W (z:1.6449,a:0.9,(0.15, 25))",214.5,248.1617,20.0,5.2915
MG:-1 Var:1,z:1.6449 alpha:0.9,"W (z:1.6449,a:0.9,(0.2, 10))",33.0712,35.7521,8.6667,4.0415
MG:-1 Var:1,z:1.6449 alpha:0.9,"W (z:1.6449,a:0.9,(0.2, 15))",196.6887,263.2308,11.6667,3.0551
MG:-1 Var:1,z:1.6449 alpha:0.9,"W (z:1.6449,a:0.9,(0.2, 20))",350.3333,259.2303,27.3333,20.0333
MG:-1 Var:1,z:1.6449 alpha:0.9,"W (z:1.6449,a:0.9,(0.2, 25))",359.1667,243.9305,20.3333,6.4291
MG:-1 Var:1,z:1.6449 alpha:0.95,"CT (z:1.6449,a:0.95,(0.1, 10))",183.2786,274.3877,12.0,7.0
MG:-1 Var:1,z:1.6449 alpha:0.95,"CT (z:1.6449,a:0.95,(0.1, 15))",209.869,251.2608,29.3333,20.5264
MG:-1 Var:1,z:1.6449 alpha:0.95,"CT (z:1.6449,a:0.95,(0.1, 20))",500.0,0.0,31.3333,24.2143
MG:-1 Var:1,z:1.6449 alpha:0.95,"CT (z:1.6449,a:0.95,(0.1, 25))",500.0,0.0,34.3333,22.6789
MG:-1 Var:1,z:1.6449 alpha:0.95,"CT (z:1.6449,a:0.95,(0.15, 10))",188.9917,269.5913,18.0,7.9373
MG:-1 Var:1,z:1.6449 alpha:0.95,"CT (z:1.6449,a:0.95,(0.15, 15))",354.9524,251.2298,32.3333,24.8261
MG:-1 Var:1,z:1.6449 alpha:0.95,"CT (z:1.6449,a:0.95,(0.15, 20))",500.0,0.0,32.0,24.5764
MG:-1 Var:1,z:1.6449 alpha:0.95,"CT (z:1.6449,a:0.95,(0.15, 25))",500.0,0.0,37.6667,21.1266
MG:-1 Var:1,z:1.6449 alpha:0.95,"CT (z:1.6449,a:0.95,(0.2, 10))",196.9769,262.6524,18.3333,8.3267
MG:-1 Var:1,z:1.6449 alpha:0.95,"CT (z:1.6449,a:0.95,(0.2, 15))",354.9524,251.2298,32.6667,24.6847
MG:-1 Var:1,z:1.6449 alpha:0.95,"CT (z:1.6449,a:0.95,(0.2, 20))",500.0,0.0,40.0,25.632
MG:-1 Var:1,z:1.6449 alpha:0.95,"CT (z:1.6449,a:0.95,(0.2, 25))",500.0,0.0,41.3333,26.4071
MG:-1 Var:1,z:1.6449 alpha:0.95,"M (z:1.6449,a:0.95,10)",39.6713,41.1204,9.6667,5.0332
MG:-1 Var:1,z:1.6449 alpha:0.95,"M (z:1.6449,a:0.95,15)",199.6894,261.6571,16.6667,6.4291
MG:-1 Var:1,z:1.6449 alpha:0.95,"M (z:1.6449,a:0.95,20)",340.029,277.0779,29.0,18.2483
MG:-1 Var:1,z:1.6449 alpha:0.95,"M (z:1.6449,a:0.95,25)",341.1,275.2229,21.3333,3.0551
MG:-1 Var:1,z:1.6449 alpha:0.95,"M (z:1.6449,a:0.95,30)",348.9333,261.6551,25.0,6.0
MG:-1 Var:1,z:1.6449 alpha:0.95,"T (z:1.6449,a:0.95,(0.1, 10))",28.3609,26.2024,10.0,4.3589
MG:-1 Var:1,z:1.6449 alpha:0.95,"T (z:1.6449,a:0.95,(0.1, 15))",185.367,272.6124,17.3333,6.8069
MG:-1 Var:1,z:1.6449 alpha:0.95,"T (z:1.6449,a:0.95,(0.1, 20))",355.1905,250.8175,28.0,19.2873
MG:-1 Var:1,z:1.6449 alpha:0.95,"T (z:1.6449,a:0.95,(0.1, 25))",385.0,199.1858,21.3333,4.7258
MG:-1 Var:1,z:1.6449 alpha:0.95,"T (z:1.6449,a:0.95,(0.15, 10))",28.3609,26.2024,10.0,4.3589
MG:-1 Var:1,z:1.6449 alpha:0.95,"T (z:1.6449,a:0.95,(0.15, 15))",222.9444,244.1359,17.3333,6.8069
MG:-1 Var:1,z:1.6449 alpha:0.95,"T (z:1.6449,a:0.95,(0.15, 20))",352.4583,255.5497,28.3333,20.7926
MG:-1 Var:1,z:1.6449 alpha:0.95,"T (z:1.6449,a:0.95,(0.15, 25))",385.0,199.1858,21.3333,4.7258
MG:-1 Var:1,z:1.6449 alpha:0.95,"T (z:1.6449,a:0.95,(0.2, 10))",39.0987,36.4522,9.3333,5.1316
MG:-1 Var:1,z:1.6449 alpha:0.95,"T (z:1.6449,a:0.95,(0.2, 15))",267.303,228.6585,17.3333,6.8069
MG:-1 Var:1,z:1.6449 alpha:0.95,"T (z:1.6449,a:0.95,(0.2, 20))",352.4583,255.5497,29.0,21.9317
MG:-1 Var:1,z:1.6449 alpha:0.95,"T (z:1.6449,a:0.95,(0.2, 25))",364.3333,234.9816,21.3333,4.6188
MG:-1 Var:1,z:1.6449 alpha:0.95,"W (z:1.6449,a:0.95,(0.1, 10))",14.8074,6.9585,10.0,4.3589
MG:-1 Var:1,z:1.6449 alpha:0.95,"W (z:1.6449,a:0.95,(0.1, 15))",38.2462,36.3206,17.3333,6.8069
MG:-1 Var:1,z:1.6449 alpha:0.95,"W (z:1.6449,a:0.95,(0.1, 20))",203.2857,257.1824,28.0,19.2873
MG:-1 Var:1,z:1.6449 alpha:0.95,"W (z:1.6449,a:0.95,(0.1, 25))",257.0,231.5146,21.3333,4.7258
MG:-1 Var:1,z:1.6449 alpha:0.95,"W (z:1.6449,a:0.95,(0.15, 10))",14.8074,6.9585,10.0,4.3589
MG:-1 Var:1,z:1.6449 alpha:0.95,"W (z:1.6449,a:0.95,(0.15, 15))",186.6667,271.3551,17.3333,6.8069
MG:-1 Var:1,z:1.6449 alpha:0.95,"W (z:1.6449,a:0.95,(0.15, 20))",352.4583,255.5497,27.6667,19.6554
MG:-1 Var:1,z:1.6449 alpha:0.95,"W (z:1.6449,a:0.95,(0.15, 25))",260.8333,226.1329,21.3333,4.7258
MG:-1 Var:1,z:1.6449 alpha:0.95,"W (z:1.6449,a:0.95,(0.2, 10))",53.149,61.4654,9.6667,4.7258
MG:-1 Var:1,z:1.6449 alpha:0.95,"W (z:1.6449,a:0.95,(0.2, 15))",200.3526,259.8917,17.0,7.2111
MG:-1 Var:1,z:1.6449 alpha:0.95,"W (z:1.6449,a:0.95,(0.2, 20))",358.8333,244.5078,27.6667,19.6554
MG:-1 Var:1,z:1.6449 alpha:0.95,"W (z:1.6449,a:0.95,(0.2, 25))",385.0,199.1858,21.0,6.0828
MG:-1 Var:1,z:1.6449 alpha:1,"CT (z:1.6449,a:1,(0.1, 10))",190.662,268.2663,18.0,7.9373
MG:-1 Var:1,z:1.6449 alpha:1,"CT (z:1.6449,a:1,(0.1, 15))",217.0635,245.2654,32.3333,24.8261
MG:-1 Var:1,z:1.6449 alpha:1,"CT (z:1.6449,a:1,(0.1, 20))",500.0,0.0,32.6667,23.8607
MG:-1 Var:1,z:1.6449 alpha:1,"CT (z:1.6449,a:1,(0.1, 25))",500.0,0.0,37.6667,21.1266
MG:-1 Var:1,z:1.6449 alpha:1,"CT (z:1.6449,a:1,(0.15, 10))",193.2361,266.1785,18.3333,8.3267
MG:-1 Var:1,z:1.6449 alpha:1,"CT (z:1.6449,a:1,(0.15, 15))",358.5556,244.989,32.6667,24.6847
MG:-1 Var:1,z:1.6449 alpha:1,"CT (z:1.6449,a:1,(0.15, 20))",500.0,0.0,39.6667,25.697
MG:-1 Var:1,z:1.6449 alpha:1,"CT (z:1.6449,a:1,(0.15, 25))",500.0,0.0,41.6667,25.9679
MG:-1 Var:1,z:1.6449 alpha:1,"CT (z:1.6449,a:1,(0.2, 10))",224.9,239.5674,30.0,25.9422
MG:-1 Var:1,z:1.6449 alpha:1,"CT (z:1.6449,a:1,(0.2, 15))",383.3333,202.0726,41.0,27.2213
MG:-1 Var:1,z:1.6449 alpha:1,"CT (z:1.6449,a:1,(0.2, 20))",500.0,0.0,44.6667,26.7644
MG:-1 Var:1,z:1.6449 alpha:1,"CT (z:1.6449,a:1,(0.2, 25))",500.0,0.0,41.6667,25.9679
MG:-1 Var:1,z:1.6449 alpha:1,"M (z:1.6449,a:1,10)",42.1667,38.9044,9.6667,5.0332
MG:-1 Var:1,z:1.6449 alpha:1,"M (z:1.6449,a:1,15)",205.3889,255.9365,16.6667,6.4291
MG:-1 Var:1,z:1.6449 alpha:1,"M (z:1.6449,a:1,20)",342.9583,272.0041,29.0,18.2483
MG:-1 Var:1,z:1.6449 alpha:1,"M (z:1.6449,a:1,25)",347.4242,264.269,21.6667,2.5166
MG:-1 Var:1,z:1.6449 alpha:1,"M (z:1.6449,a:1,30)",352.8333,254.9001,32.6667,12.6623
MG:-1 Var:1,z:1.6449 alpha:1,"T (z:1.6449,a:1,(0.1, 10))",28.9907,22.5248,10.0,4.3589
MG:-1 Var:1,z:1.6449 alpha:1,"T (z:1.6449,a:1,(0.1, 15))",192.9333,266.0509,24.6667,18.5831
MG:-1 Var:1,z:1.6449 alpha:1,"T (z:1.6449,a:1,(0.1, 20))",409.0,157.6166,29.3333,21.5716
MG:-1 Var:1,z:1.6449 alpha:1,"T (z:1.6449,a:1,(0.1, 25))",488.0,20.7846,21.6667,4.9329
MG:-1 Var:1,z:1.6449 alpha:1,"T (z:1.6449,a:1,(0.15, 10))",28.9907,22.5248,10.0,4.3589
MG:-1 Var:1,z:1.6449 alpha:1,"T (z:1.6449,a:1,(0.15, 15))",271.9167,221.9071,17.6667,6.6583
MG:-1 Var:1,z:1.6449 alpha:1,"T (z:1.6449,a:1,(0.15, 20))",371.5,222.5685,29.3333,21.5716
MG:-1 Var:1,z:1.6449 alpha:1,"T (z:1.6449,a:1,(0.15, 25))",488.0,20.7846,21.6667,4.9329
MG:-1 Var:1,z:1.6449 alpha:1,"T (z:1.6449,a:1,(0.2, 10))",183.4247,274.2712,9.6667,4.7258
MG:-1 Var:1,z:1.6449 alpha:1,"T (z:1.6449,a:1,(0.2, 15))",271.9167,221.9071,17.6667,6.6583
MG:-1 Var:1,z:1.6449 alpha:1,"T (z:1.6449,a:1,(0.2, 20))",371.5,222.5685,30.3333,22.5019
MG:-1 Var:1,z:1.6449 alpha:1,"T (z:1.6449,a:1,(0.2, 25))",410.6667,154.7299,22.0,5.1962
MG:-1 Var:1,z:1.6449 alpha:1,"W (z:1.6449,a:1,(0.1, 10))",19.5181,9.976,11.6667,7.2342
MG:-1 Var:1,z:1.6449 alpha:1,"W (z:1.6449,a:1,(0.1, 15))",185.0862,273.1664,24.6667,18.5831
MG:-1 Var:1,z:1.6449 alpha:1,"W (z:1.6449,a:1,(0.1, 20))",343.8333,231.7953,28.3333,19.0875
MG:-1 Var:1,z:1.6449 alpha:1,"W (z:1.6449,a:1,(0.1, 25))",355.0,220.7057,33.3333,22.5019
MG:-1 Var:1,z:1.6449 alpha:1,"W (z:1.6449,a:1,(0.15, 10))",19.5181,9.976,11.6667,7.2342
MG:-1 Var:1,z:1.6449 alpha:1,"W (z:1.6449,a:1,(0.15, 15))",202.1333,258.078,26.0,20.8806
MG:-1 Var:1,z:1.6449 alpha:1,"W (z:1.6449,a:1,(0.15, 20))",409.0,157.6166,28.6667,20.4287
MG:-1 Var:1,z:1.6449 alpha:1,"W (z:1.6449,a:1,(0.15, 25))",355.0,220.7057,32.3333,20.9841
MG:-1 Var:1,z:1.6449 alpha:1,"W (z:1.6449,a:1,(0.2, 10))",182.4586,275.1611,9.6667,4.7258
MG:-1 Var:1,z:1.6449 alpha:1,"W (z:1.6449,a:1,(0.2, 15))",352.25,255.9105,17.3333,7.0946
MG:-1 Var:1,z:1.6449 alpha:1,"W (z:1.6449,a:1,(0.2, 20))",500.0,0.0,29.3333,21.7332
MG:-1 Var:1,z:1.6449 alpha:1,"W (z:1.6449,a:1,(0.2, 25))",488.0,20.7846,32.3333,22.8983
MG:-1 Var:1,z:1.6449 alpha:1.5,"CT (z:1.6449,a:1.5,(0.1, 10))",500.0,0.0,207.6667,191.5054
MG:-1 Var:1,z:1.6449 alpha:1.5,"CT (z:1.6449,a:1.5,(0.1, 15))",500.0,0.0,273.6667,218.8158
MG:-1 Var:1,z:1.6449 alpha:1.5,"CT (z:1.6449,a:1.5,(0.1, 20))",500.0,0.0,273.6667,218.8158
MG:-1 Var:1,z:1.6449 alpha:1.5,"CT (z:1.6449,a:1.5,(0.1, 25))",500.0,0.0,274.6667,217.0837
MG:-1 Var:1,z:1.6449 alpha:1.5,"CT (z:1.6449,a:1.5,(0.15, 10))",500.0,0.0,272.3333,221.1252
MG:-1 Var:1,z:1.6449 alpha:1.5,"CT (z:1.6449,a:1.5,(0.15, 15))",500.0,0.0,273.6667,218.8158
MG:-1 Var:1,z:1.6449 alpha:1.5,"CT (z:1.6449,a:1.5,(0.15, 20))",500.0,0.0,273.6667,218.8158
MG:-1 Var:1,z:1.6449 alpha:1.5,"CT (z:1.6449,a:1.5,(0.15, 25))",500.0,0.0,275.0,216.5064
MG:-1 Var:1,z:1.6449 alpha:1.5,"CT (z:1.6449,a:1.5,(0.2, 10))",500.0,0.0,273.6667,218.8158
MG:-1 Var:1,z:1.6449 alpha:1.5,"CT (z:1.6449,a:1.5,(0.2, 15))",500.0,0.0,274.0,218.2384
MG:-1 Var:1,z:1.6449 alpha:1.5,"CT (z:1.6449,a:1.5,(0.2, 20))",500.0,0.0,274.6667,217.0837
MG:-1 Var:1,z:1.6449 alpha:1.5,"CT (z:1.6449,a:1.5,(0.2, 25))",500.0,0.0,275.3333,215.929
MG:-1 Var:1,z:1.6449 alpha:1.5,"M (z:1.6449,a:1.5,10)",500.0,0.0,32.3333,41.3562
MG:-1 Var:1,z:1.6449 alpha:1.5,"M (z:1.6449,a:1.5,15)",500.0,0.0,158.6667,210.1555
MG:-1 Var:1,z:1.6449 alpha:1.5,"M (z:1.6449,a:1.5,20)",500.0,0.0,172.6667,200.7021
MG:-1 Var:1,z:1.6449 alpha:1.5,"M (z:1.6449,a:1.5,25)",500.0,0.0,240.6667,195.8605
MG:-1 Var:1,z:1.6449 alpha:1.5,"M (z:1.6449,a:1.5,30)",500.0,0.0,275.3333,215.929
MG:-1 Var:1,z:1.6449 alpha:1.5,"T (z:1.6449,a:1.5,(0.1, 10))",283.8333,193.4492,42.3333,28.2902
MG:-1 Var:1,z:1.6449 alpha:1.5,"T (z:1.6449,a:1.5,(0.1, 15))",500.0,0.0,207.6667,192.5002
MG:-1 Var:1,z:1.6449 alpha:1.5,"T (z:1.6449,a:1.5,(0.1, 20))",500.0,0.0,209.3333,190.5002
MG:-1 Var:1,z:1.6449 alpha:1.5,"T (z:1.6449,a:1.5,(0.1, 25))",500.0,0.0,210.3333,189.0035
MG:-1 Var:1,z:1.6449 alpha:1.5,"T (z:1.6449,a:1.5,(0.15, 10))",283.8333,193.4492,42.3333,28.2902
MG:-1 Var:1,z:1.6449 alpha:1.5,"T (z:1.6449,a:1.5,(0.15, 15))",500.0,0.0,207.3333,193.0009
MG:-1 Var:1,z:1.6449 alpha:1.5,"T (z:1.6449,a:1.5,(0.15, 20))",500.0,0.0,209.3333,190.5002
MG:-1 Var:1,z:1.6449 alpha:1.5,"T (z:1.6449,a:1.5,(0.15, 25))",500.0,0.0,274.0,218.2384
MG:-1 Var:1,z:1.6449 alpha:1.5,"T (z:1.6449,a:1.5,(0.2, 10))",408.1667,159.06,39.3333,27.5379
MG:-1 Var:1,z:1.6449 alpha:1.5,"T (z:1.6449,a:1.5,(0.2, 15))",500.0,0.0,160.0,209.466
MG:-1 Var:1,z:1.6449 alpha:1.5,"T (z:1.6449,a:1.5,(0.2, 20))",500.0,0.0,209.3333,190.5002
MG:-1 Var:1,z:1.6449 alpha:1.5,"T (z:1.6449,a:1.5,(0.2, 25))",500.0,0.0,274.0,218.2384
MG:-1 Var:1,z:1.6449 alpha:1.5,"W (z:1.6449,a:1.5,(0.1, 10))",254.4583,232.0177,42.3333,28.2902
MG:-1 Var:1,z:1.6449 alpha:1.5,"W (z:1.6449,a:1.5,(0.1, 15))",500.0,0.0,92.6667,101.8643
MG:-1 Var:1,z:1.6449 alpha:1.5,"W (z:1.6449,a:1.5,(0.1, 20))",500.0,0.0,209.0,190.502
